churn,usecompetitors,sessions,FF,strategic,callcycle_Every Other Month,callcycle_Half Year,callcycle_Monthly,callcycle_None,callcycle_Quarterly,callcycle_Yearly,Close Date,First Deal Created Date,Last Call Cycle Date,Time of Last Session
0,0,1,0,0,0,0,0,0,0,1,8/24/2017 16:40,6/18/2018 9:45,6/18/2019,9/12/2017 9:20
1,0,1,0,0,0,0,0,0,1,0,8/24/2017 16:40,8/13/2013 0:00,,8/27/2018 10:51
0,1,64,1,1,0,0,0,0,1,0,8/24/2017 16:40,2/28/2017 0:00,7/26/2019,7/27/2019 7:35
1,1,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/10/2017 0:00,10/30/2018,
1,1,1,0,0,1,0,0,0,0,0,8/24/2017 16:40,2/16/2017 0:00,,4/5/2018 11:39
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/10/2017 0:00,11/14/2018,
0,0,163,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/28/2017 0:00,11/30/2018,10/9/2018 9:21
0,0,10,0,0,0,0,0,0,0,1,8/24/2017 16:40,1/26/2017 0:00,11/12/2018,9/17/2019 6:54
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/8/2017 0:00,11/6/2018,
0,0,12,0,0,0,0,0,0,0,1,8/24/2017 16:40,9/20/2013 0:00,12/14/2018,11/4/2019 9:04
0,0,288,1,0,0,0,0,0,1,0,8/24/2017 16:40,5/10/2017 0:00,12/17/2018,11/15/2019 11:00
0,1,3,0,0,0,0,0,0,0,1,8/24/2017 16:40,7/13/2015 0:00,10/1/2018,1/15/2018 10:58
1,0,0,0,0,0,0,0,0,1,0,8/24/2017 16:40,5/11/2017 0:00,,
0,0,1,1,1,0,0,0,0,1,0,8/24/2017 16:40,2/7/2017 0:00,1/3/2019,5/2/2018 10:30
1,0,1,0,0,0,0,0,1,0,0,8/24/2017 16:40,2/28/2017 0:00,,11/21/2017 14:43
0,0,28,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/4/2017 0:00,2/11/2019,11/6/2019 15:47
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,12/16/2015 0:00,2/19/2019,
0,1,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,12/15/2016 0:00,5/2/2019,
1,1,0,1,0,0,0,0,0,1,0,8/24/2017 16:40,5/12/2017 0:00,,
0,0,60,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/7/2017 0:00,2/21/2019,7/17/2019 8:05
1,0,1,0,0,0,0,0,1,0,0,8/24/2017 16:40,2/16/2017 0:00,,5/1/2018 15:21
0,0,5,0,0,0,0,0,0,0,1,8/24/2017 16:40,12/15/2016 0:00,12/14/2018,9/12/2019 10:34
0,0,5,1,0,0,1,0,0,0,0,8/24/2017 16:40,10/13/2011 0:00,11/13/2018,6/12/2018 17:18
1,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,,,
0,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/17/2015 0:00,9/21/2018,
1,0,2,1,0,0,0,0,1,0,0,8/24/2017 16:40,3/13/2018 0:00,,7/17/2018 9:20
0,0,1,0,0,0,0,0,0,0,1,8/24/2017 16:40,3/10/2016 0:00,7/17/2019,9/20/2019 9:03
0,0,27,1,1,0,0,0,0,1,0,8/24/2017 16:40,10/10/2013 0:00,5/1/2019,10/24/2019 12:59
0,0,76,1,0,0,0,0,0,0,1,12/20/2017 12:55,1/27/2017 0:00,10/9/2018,4/24/2019 10:34
1,0,0,1,0,0,0,0,1,0,0,8/24/2017 16:40,,,
0,0,10,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,7/10/2018,10/31/2018 10:34
0,0,8,1,0,0,0,0,0,0,1,1/31/2018 13:56,2/16/2017 0:00,2/19/2019,6/18/2019 15:16
0,0,30,1,0,0,0,0,0,0,1,8/24/2017 16:40,1/27/2017 0:00,10/19/2018,11/12/2019 23:21
0,0,124,0,0,0,0,0,0,1,0,8/24/2017 16:40,2/16/2017 0:00,7/26/2019,6/18/2019 9:16
0,0,0,0,0,0,0,0,0,0,1,3/13/2018 17:26,5/6/2010 0:00,3/13/2019,
0,1,354,1,1,0,0,0,0,1,0,8/24/2017 16:40,6/6/2012 0:00,7/2/2019,6/15/2019 10:25
0,0,1,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/7/2017 0:00,7/17/2019,7/17/2018 7:32
0,0,3,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/11/2017 0:00,4/12/2019,10/29/2018 15:02
0,1,12,1,1,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,7/25/2019,5/10/2019 9:56
0,0,15,0,1,0,0,0,0,1,0,8/24/2017 16:40,1/26/2017 0:00,5/6/2019,9/11/2019 7:55
0,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/12/2017 0:00,11/14/2018,
1,1,13,1,1,0,0,0,0,1,0,10/26/2017 8:23,2/16/2017 0:00,6/10/2019,9/26/2019 10:32
0,1,178,1,1,0,0,0,0,0,1,8/24/2017 16:40,5/2/2017 0:00,1/25/2019,11/8/2019 11:22
0,0,55,0,0,0,0,0,0,1,0,8/24/2017 16:40,1/26/2017 0:00,2/7/2019,11/4/2019 3:39
0,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,11/15/2018,
1,1,0,0,0,0,0,0,0,1,0,8/24/2017 16:40,2/16/2017 0:00,5/14/2018,4/20/2018 11:17
1,1,8,1,0,0,0,0,1,0,0,8/24/2017 16:40,5/10/2017 0:00,12/4/2018,11/13/2018 9:02
0,0,0,0,0,0,0,0,0,0,1,11/15/2017 11:29,1/23/2011 0:00,2/6/2019,
0,0,1,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/28/2017 0:00,11/15/2018,5/1/2018 14:13
1,0,1,1,0,0,0,0,1,0,0,10/26/2017 8:23,,,10/8/2018 15:20
0,1,22,0,0,0,0,0,0,0,1,8/24/2017 16:40,3/17/2017 0:00,10/29/2018,4/26/2019 12:33
0,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/8/2017 0:00,11/6/2018,
0,0,14,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/7/2017 0:00,2/1/2019,9/25/2019 13:35
0,1,2,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/9/2017 0:00,8/9/2018,4/2/2018 11:28
0,1,45,1,0,0,1,0,0,0,0,8/24/2017 16:40,5/8/2017 0:00,11/8/2018,8/26/2019 10:40
0,0,5,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/28/2017 0:00,3/18/2019,10/9/2017 6:23
0,0,10,1,1,0,0,0,0,1,0,8/24/2017 16:40,4/12/2017 0:00,11/9/2018,4/2/2019 9:53
0,0,8,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,11/11/2019,7/29/2019 9:41
0,0,50,1,0,0,1,0,0,0,0,8/24/2017 16:40,5/10/2017 0:00,11/5/2019,11/14/2019 10:24
1,0,0,1,0,0,0,0,1,0,0,8/23/2017 15:58,,,
0,1,1,1,0,0,0,0,0,0,1,8/24/2017 16:40,8/20/2010 0:00,1/30/2019,7/24/2018 12:24
0,0,3,0,0,0,0,0,0,0,1,7/5/2018 14:34,3/2/2017 0:00,10/1/2018,8/23/2019 11:17
0,0,1,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/10/2017 0:00,1/25/2019,9/24/2018 9:42
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/11/2017 0:00,2/19/2019,
0,0,6,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,11/13/2018,4/30/2018 5:10
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/8/2017 0:00,2/21/2019,
1,1,2,1,0,0,0,0,0,0,1,8/24/2017 16:40,3/17/2017 0:00,9/26/2018,7/17/2018 7:08
0,0,24,1,0,0,0,0,0,0,1,9/11/2018 9:57,2/16/2017 0:00,4/1/2019,9/30/2019 11:59
0,0,4,1,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,7/17/2019,8/20/2019 7:56
0,0,651,1,1,0,0,1,0,0,0,10/25/2017 19:31,10/5/2015 0:00,9/6/2019,11/14/2019 15:49
0,0,43,0,1,0,0,0,0,1,0,8/24/2017 16:40,1/18/2013 0:00,10/25/2019,6/14/2019 8:58
0,1,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,1/26/2017 0:00,11/29/2018,
0,0,216,1,1,0,0,1,0,0,0,8/24/2017 16:40,5/11/2017 0:00,11/6/2019,10/28/2019 18:16
0,1,6,0,0,0,0,0,0,0,1,8/24/2017 16:40,1/27/2017 0:00,3/5/2019,7/25/2019 13:37
0,0,54,0,0,0,1,0,0,0,0,8/24/2017 16:40,2/16/2017 0:00,7/24/2019,2/20/2019 8:06
0,0,11,1,1,0,0,0,0,0,1,8/24/2017 16:40,3/2/2017 0:00,5/29/2019,1/29/2019 0:35
1,1,0,0,0,0,0,0,0,1,0,8/24/2017 16:40,5/11/2017 0:00,,
1,1,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/28/2017 0:00,9/14/2018,
0,0,28,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/10/2017 0:00,1/2/2019,5/29/2019 11:47
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,1/26/2017 0:00,5/3/2018,
0,0,2,0,0,0,0,0,0,0,1,8/24/2017 16:40,12/15/2016 0:00,12/14/2018,2/7/2019 11:05
0,0,3,1,0,0,0,0,0,0,1,8/24/2017 16:40,8/29/2017 14:30,10/1/2018,5/29/2018 13:44
1,0,0,1,0,0,0,0,0,1,0,8/24/2017 16:40,2/16/2017 0:00,,
1,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/10/2010 0:00,11/28/2018,
0,0,3,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/12/2017 0:00,9/10/2018,2/4/2019 14:09
0,0,45,1,0,0,0,0,0,0,1,8/24/2017 16:40,9/15/2017 1:00,2/21/2019,10/24/2019 9:03
1,1,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,8/8/2013 0:00,3/20/2018,
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/16/2017 0:00,11/9/2018,
0,0,8,1,0,0,0,0,0,0,1,8/24/2017 16:40,5/11/2017 0:00,4/16/2019,4/24/2019 12:07
1,0,7,1,0,0,0,0,1,0,0,8/24/2017 16:40,,,1/11/2019 13:57
0,0,240,1,1,0,1,0,0,0,0,8/24/2017 16:40,10/25/2017 0:00,2/7/2019,11/15/2019 12:41
0,0,14,1,1,0,0,0,0,1,0,8/24/2017 16:40,11/3/2017 3:00,10/31/2018,8/11/2019 22:42
0,0,0,1,0,0,0,0,0,0,1,8/24/2017 16:40,4/21/2017 0:00,11/15/2018,
0,1,1,1,0,0,1,0,0,0,0,8/24/2017 16:40,5/12/2017 0:00,9/24/2019,8/28/2018 10:45
1,1,0,1,0,0,0,0,0,1,0,8/24/2017 16:40,4/13/2017 0:00,,
1,0,0,1,0,0,0,0,1,0,0,8/24/2017 16:40,12/15/2016 0:00,,
0,1,13,1,1,0,1,0,0,0,0,8/24/2017 16:40,2/28/2017 0:00,9/5/2019,11/12/2019 19:21
1,0,1,0,0,0,0,0,0,1,0,8/24/2017 16:40,2/16/2017 0:00,,5/2/2018 8:02
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,5/12/2017 0:00,9/24/2019,
0,0,7,0,0,0,1,0,0,0,0,8/24/2017 16:40,4/21/2017 0:00,10/3/2019,9/4/2019 14:25
0,1,446,1,1,0,0,0,0,1,0,8/24/2017 16:40,5/9/2017 0:00,7/19/2019,10/21/2019 11:03
0,0,5,0,0,0,0,0,0,0,1,8/24/2017 16:40,3/2/2017 0:00,2/21/2019,1/14/2019 8:40
0,0,0,0,0,0,0,0,1,0,0,9/13/2018 15:09,,,
0,0,28,0,1,0,0,1,0,0,0,2/15/2018 13:21,10/16/2017 0:00,6/26/2019,10/20/2019 13:37
0,1,157,1,0,0,0,0,0,0,1,8/24/2017 16:40,1/26/2017 0:00,7/24/2019,9/5/2019 11:08
0,1,113,1,0,0,1,0,0,0,0,8/24/2017 16:40,9/12/2013 0:00,9/23/2019,10/11/2019 20:29
0,0,17,1,1,0,0,0,1,0,0,10/25/2017 19:31,4/30/2018 15:06,,10/25/2019 15:35
0,0,232,0,0,0,0,0,0,0,1,10/26/2017 8:23,5/8/2017 0:00,4/15/2019,11/13/2019 22:39
0,0,0,0,0,0,0,0,1,0,0,10/24/2017 9:26,,,
0,0,63,1,0,0,0,0,0,0,1,8/24/2017 16:40,1/26/2017 0:00,5/16/2019,10/9/2019 10:38
0,0,13,1,0,0,1,0,0,0,0,8/24/2017 16:40,2/7/2017 0:00,9/6/2019,11/4/2019 10:32
0,1,879,1,1,0,0,1,0,0,0,8/24/2017 16:40,3/2/2017 0:00,11/1/2019,11/15/2019 12:32
0,0,22,1,0,0,1,0,0,0,0,8/24/2017 16:40,5/9/2017 0:00,9/5/2019,10/14/2019 7:04
0,0,153,1,0,0,0,0,0,1,0,8/24/2017 16:40,2/16/2017 0:00,10/25/2019,11/15/2019 13:58
0,0,1,1,0,0,0,0,0,0,1,8/24/2017 16:40,3/2/2017 0:00,4/15/2019,6/12/2019 17:28
0,1,215,1,1,0,0,1,0,0,0,8/24/2017 16:40,12/15/2016 0:00,9/4/2019,10/30/2019 17:59
0,0,511,1,0,0,0,0,0,1,0,8/24/2017 16:40,5/2/2017 0:00,6/21/2019,11/15/2019 10:36
0,1,247,1,1,0,0,0,0,1,0,8/24/2017 16:40,3/3/2017 0:00,9/10/2018,10/30/2019 9:41
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,7/8/2016 0:00,2/6/2019,
0,1,154,1,1,0,0,0,0,1,0,8/24/2017 16:40,2/22/2019 14:13,7/26/2019,11/21/2018 9:16
0,0,0,0,0,0,0,0,0,0,1,8/24/2017 16:40,2/7/2017 0:00,9/12/2019,
0,0,21,1,1,0,0,0,0,1,0,8/24/2017 16:40,9/18/2019 12:32,8/7/2019,10/4/2019 15:35
1,0,0,0,0,0,0,0,1,0,0,10/24/2017 9:44,,,
0,0,158,1,1,0,0,0,0,1,0,8/24/2017 16:40,4/13/2017 0:00,7/25/2019,11/11/2019 9:00
1,0,2,1,0,0,0,0,1,0,0,8/24/2017 16:40,,,4/26/2019 16:39
0,1,89,1,1,0,0,1,0,0,0,8/24/2017 16:40,11/8/2017 3:00,8/26/2019,9/15/2019 10:32
