"","churn","usecompetitors","sessions","FF","strategic","callcycle_Every.Other.Month","callcycle_Half.Year","callcycle_Monthly","callcycle_None","callcycle_Quarterly","callcycle_Yearly","Close.Date","First.Deal.Created.Date","Last.Call.Cycle.Date","Time.of.Last.Session","days_live"
"1",0,0,0,1,1,0,0,1,0,0,0,"9/19/2019 16:27","5/15/2019 17:17","9/19/2019","5/10/2019 15:48",280
"2",0,0,2,0,1,0,0,0,0,1,0,"3/19/2019 10:59","","9/4/2019","4/27/2018 9:30",337
"3",1,0,0,0,1,0,0,0,0,1,0,"2/1/2019 11:59","","9/3/2019","",214
"4",0,1,0,0,1,1,0,0,0,0,0,"12/5/2018 10:07","1/22/2019 10:17","9/4/2019","8/15/2018 11:01",441
"5",0,0,0,0,0,1,0,0,0,0,0,"10/30/2018 8:21","10/26/2018 14:17","7/29/2019","",481
"6",0,0,1,1,0,0,0,0,1,0,0,"11/1/2018 9:08","10/5/2018 10:26","","10/3/2018 8:29",502
"7",1,0,6,1,0,0,0,0,1,0,0,"10/18/2018 13:29","9/20/2018 12:50","3/20/2019","9/18/2018 10:46",181
"8",0,0,29,0,0,0,0,1,0,0,0,"10/15/2018 8:38","8/21/2018 12:52","8/20/2019","10/30/2019 7:01",547
"9",0,0,0,0,1,0,0,0,0,1,0,"8/14/2018 8:41","7/25/2018 10:11","3/1/2019","",574
"10",0,0,8,0,0,0,0,0,1,0,0,"4/5/2019 9:43","4/20/2018 10:30","","4/20/2018 9:57",670
"11",0,0,0,0,0,0,0,0,1,0,0,"3/28/2018 17:58","3/6/2018 3:00","","",715
"12",0,0,0,0,0,0,0,0,0,0,1,"5/31/2018 15:12","5/11/2018 9:24","4/30/2019","",649
"13",1,0,2,1,0,0,1,0,0,0,0,"6/26/2018 13:20","7/21/2017 0:00","7/19/2018","2/8/2018 8:26",363
"14",0,0,0,0,0,0,0,0,1,0,0,"2/6/2018 8:41","5/15/2017 0:00","","",1010
"15",0,0,1,1,0,0,0,0,0,0,1,"2/15/2018 16:01","9/6/2017 0:00","2/6/2019","7/24/2018 5:43",896
"16",1,0,4,1,0,0,0,1,0,0,0,"6/7/2019 10:05","8/15/2018 15:54","6/7/2019","5/9/2019 13:19",296
"17",1,0,0,0,0,0,0,0,1,0,0,"2/2/2018 10:15","2/2/2018 0:00","","",NA
"18",0,0,0,0,1,0,0,0,0,1,0,"8/24/2017 16:40","","6/20/2019","",909
"19",0,0,26,0,0,0,0,0,0,0,1,"12/21/2017 11:22","3/10/2017 0:00","2/21/2019","9/23/2019 15:02",1076
"20",0,0,1,1,0,0,0,1,0,0,0,"10/15/2018 12:23","8/16/2018 16:11","7/29/2019","4/11/2019 9:24",552
"21",0,0,17,0,0,0,0,0,0,0,1,"8/6/2018 15:10","11/30/2017 0:00","2/21/2019","11/15/2018 17:44",811
"22",0,0,0,1,0,0,0,0,1,0,0,"10/25/2017 19:31","","","",847
